Từ vựng,Phát âm,Nghĩa,Chủ đề
Father-in-law,/ˈfɑː.ðər.ɪn.lɔː/,Bố chồng/ bố vợ,Từ vựng về gia đình
Mother-in-law,/ˈmʌð.ə.rɪn.lɔː/,Mẹ chồng/ mẹ vợ,Từ vựng về gia đình
Son-in-law,/ˈsʌn.ɪn.lɔː/,Con rể,Từ vựng về gia đình
Daughter-in-law,/ˈdɔː.tər.ɪn.lɔː/,Con dâu,Từ vựng về gia đình
Sister-in-law,/ˈsɪs.tə.rɪn.lɔː/,Chị dâu/ em dâu,Từ vựng về gia đình
Brother-in-law,/ˈbrʌð.ə.rɪn.lɔː/,Anh rể/ em rể,Từ vựng về gia đình
Relative,/ˈrel.ə.tɪv/,Họ hàng,Từ vựng về gia đình
Shirt,/ʃɜːt/,Áo sơ mi,Từ vựng về quần áo
T-shirt,/ˈtiː ʃɜːt/,Áo phông,Từ vựng về quần áo
Trousers,/ˈtraʊzəz/,Quần dài,Từ vựng về quần áo
Dress,/dres/,Đầm,Từ vựng về quần áo
Skirt,/skɜːt/,Chân váy,Từ vựng về quần áo
Coat,/kəʊt/,Áo khoác dài,Từ vựng về quần áo
Jacket,/ˈdʒækɪt/,Áo khoác,Từ vựng về quần áo
Sweater,/ˈswetə(r)/,Áo len,Từ vựng về quần áo
Jeans,/dʒiːnz/,Quần jeans,Từ vựng về quần áo
Cardigan,/ˈkɑːdɪɡən/,Áo ca-đi-gan,Từ vựng về quần áo
Pants,/pænts/,Quần dài,Từ vựng về quần áo
Shorts,/ʃɔːts/,Quần đùi,Từ vựng về quần áo
House dress,/haus dres/,Váy mặc ở nhà,Từ vựng về quần áo
Maternity dress,/mə’təniti dres/,Váy bầu,Từ vựng về quần áo
Wedding gown,/ˈwedɪŋ ɡaʊn/,Váy cưới,Từ vựng về quần áo
Blouse,/blaʊz/,Áo sơ mi nữ,Từ vựng về quần áo
Miniskirt,/ˈmɪniskɜːt/,Chân váy ngắn,Từ vựng về quần áo
Night gown,/naɪt ɡaʊn/,Đầm ngủ,Từ vựng về quần áo
Bib overalls,/ˈbɪb əʊvərɔːlz/,Quần sạc lô,Từ vựng về quần áo
Pyjamas,/pəˈdʒɑːməz/,Đồ pi-ya-ma,Từ vựng về quần áo
Bathrobe,/ˈbɑːθrəʊb/,Áo choàng tắm,Từ vựng về quần áo
Swimsuit,/ˈswɪmsuːt/,Đồ bơi,Từ vựng về quần áo
Pleated skirt,/plit kət/,Váy xếp ly,Từ vựng về quần áo
Blazer,/ˈbleɪzə(r)/,Áo khoác blazer,Từ vựng về quần áo
Tank top,/ˈtæŋk tɒp/,Áo ba lỗ,Từ vựng về quần áo
Evening dress,/ˈiːvnɪŋ dres/,Đầm dạ hội,Từ vựng về quần áo
Slip dress,/slɪp dres/,Đầm hai dây,Từ vựng về quần áo
Crop top,/ˈkrɒp tɒp/,Áo crop top,Từ vựng về quần áo
Leggings,/leɡɪŋz/,Quần ôm sát,Từ vựng về quần áo
Maxi,/ˈmæksi/,Đầmmaxi,Từ vựng về quần áo
acid rain,/ˈæsɪd reɪn/,mưa a xít,Từ vựng về môi trường
atmosphere,/ˈætməsfɪə/,khí quyển,Từ vựng về môi trường
biodiversity,/ˌbaɪoʊdəˈvərsət̮i/,sự đa dạng sinh học,Từ vựng về môi trường
catastrophe,/kəˈtæstrə/,thảm họa,Từ vựng về môi trường
climate,/ˈklaɪmət/,khí hậu,Từ vựng về môi trường
climate change,/ˈklaɪmət ʧeɪnʤ/,hiện tượng biến đổi khí hậu,Từ vựng về môi trường
creature,/ˈkriːʧə/,sinh vật,Từ vựng về môi trường
destruction,/dɪsˈtrʌkʃən/,sự phá hủy,Từ vựng về môi trường
disposal,/dɪsˈpəʊzəl/,sự vứt bỏ,Từ vựng về môi trường
desertication,/dɪˌzɜːtɪfɪˈkeɪʃən/,quá trình sa mạc hóa,Từ vựng về môi trường
deforestation,/dɪˌfɒrɪˈsteɪʃ(ə)n/,sự phá rừng,Từ vựng về môi trường
dust,/dʌst/,bụi bẩn,Từ vựng về môi trường
earthquake,/ˈɜːθkweɪk/,cơn động đất,Từ vựng về môi trường
ecology,/ɪˈkɒləʤi/,sinh thái học,Từ vựng về môi trường
ecosystem,/ˈiːkəʊˌsɪstəm/,hệ sinh thái,Từ vựng về môi trường
alternative energy,/ɔːlˈtɜːnətɪv ˈɛnəʤi/,năng lượng thay thế,Từ vựng về môi trường
environment,/ɪnˈvaɪrənmənt/,môi trường,Từ vựng về môi trường
environmentalist,/ɪnˌvaɪrənˈmentəlɪst/,nhà môi trường học,Từ vựng về môi trường
erosion,/ɪˈrəʊʒən/,sự xói mòn,Từ vựng về môi trường
exhaust,/ɪgˈzɔːst/,khí thải,Từ vựng về môi trường
famine,/ˈfæmɪn/,nạn đói,Từ vựng về môi trường
pesticide,/ˈpɛstɪsaɪd/,thuốc trừ sâu,Từ vựng về môi trường
fertilizer,/ˈfɜːtɪlaɪzə/,phân bón,Từ vựng về môi trường
greenhouse eect,/ˈgriːnhaʊs ɪˈfɛkt/,hiệu ứng nhà kính,Từ vựng về môi trường
industrial waste,/ɪnˈdʌstrɪəl weɪst/,chất thải công nghiệp,Từ vựng về môi trường
Aection,/əˈfɛkʃən/,"Sự yêu mến, sự quý trọng",Từ vựng về tính cách
Ambition,/æmˈbɪʃən/,"Ước mơ, khát vọng",Từ vựng về tính cách
Assurance,/əˈʃʊrəns/,"Sự tin tưởng, sự đảm bảo",Từ vựng về tính cách
Authenticity,/ɔːˌθɛntɪˈsɪti/,"Sự chân thật, tính xác thực",Từ vựng về tính cách
Boldness,/ˈbəʊldnəs/,"Sự dũng cảm, gan dạ",Từ vựng về tính cách
Bravery,/ˈbreɪvri/,"Sự can đảm, lòng dũng cảm",Từ vựng về tính cách
Calmness,/ˈkɑːmnəs/,Sự bình tĩnh,Từ vựng về tính cách
Carefulness,/ˈkeəfʊlnəs/,Sự cẩn thận,Từ vựng về tính cách
Charity,/ˈtʃærəti/,"Sự từ thiện, tình người",Từ vựng về tính cách
Compassion,/kəmˈpæʃən/,"Sự thông cảm, lòng trắc ẩn",Từ vựng về tính cách
Condence,/ˈkɒnfɪdəns/,"Sự tự tin, sự tin tưởng",Từ vựng về tính cách
Courage,/ˈkʌrɪdʒ/,"Sự can đảm, sự dũng mãnh",Từ vựng về tính cách
Creativity,/ˌkriːeɪˈtɪvəti/,"Sự sáng tạo, tính sáng tạo",Từ vựng về tính cách
Decisiveness,/dɪˈsaɪsɪvnəs/,"Sự quả quyết, sự kiên quyết",Từ vựng về tính cách
Determination,/dɪˌtɜːmɪˈneɪʃn/,"Sự quả quyết, sự kiên định",Từ vựng về tính cách
Diligence,/ˈdɪlɪdʒəns/,"Sự cần cù, sự siêng năng",Từ vựng về tính cách
Empathy,/ˈɛmpəθi/,"Sự đồng cảm, sự thông cảm",Từ vựng về tính cách
Enthusiasm,/ɪnˈθjuːziæzəm/,"Sự nhiệt tình, sự hăng hái",Từ vựng về tính cách
Faithfulness,/ˈfeɪθfʊlnəs/,"Sự trung thành, lòng trung thành",Từ vựng về tính cách
Flexibility,/ˌfleksəˈbɪləti/,"Sự linh hoạt, tính linh hoạt",Từ vựng về tính cách
Forgiveness,/fəˈɡɪvnəs/,"Sự tha thứ, sự khoan dung",Từ vựng về tính cách
Generosity,/ˌdʒenəˈrɒsəti/,"Sự rộng lượng, sự hào phóng",Từ vựng về tính cách
Gentleness,/ˈdʒentlnəs/,"Sự nhẹ nhàng, sự hiền dịu",Từ vựng về tính cách
Gratitude,/ˈɡrætɪtjuːd/,"Sự biết ơn, lòng biết ơn",Từ vựng về tính cách
Happiness,/ˈhæpɪnəs/,"Sự hạnh phúc, niềm vui",Từ vựng về tính cách
Harmony,/ˈhɑːməni/,"Sự hòa thuận, sự hài hòa",Từ vựng về tính cách
Honesty,/ˈɒnɪsti/,"Sự thật thà, tính trung thực",Từ vựng về tính cách
Humility,/hjuːˈmɪləti/,"Sự khiêm tốn, tính khiêm tốn",Từ vựng về tính cách
Humor,/ˈhjuːmə/,"Sự hài hước, tính hài hước",Từ vựng về tính cách
Innovation,/ˌɪnəʊˈveɪʃn/,"Sự đổi mới, tính đổi mới",Từ vựng về tính cách
Integrity,/ɪnˈteɡrəti/,"Sự toàn vẹn, tính liêm chính",Từ vựng về tính cách
Joy,/dʒɔɪ/,"Sự vui mừng, sự hạnh phúc",Từ vựng về tính cách
Kindness,/ˈkaɪndnəs/,"Sự tử tế, tính nhân từ",Từ vựng về tính cách
Loyalty,/ˈlɔɪəlti/,"Sự trung thành, tính trung thành",Từ vựng về tính cách
Mindfulness,/ˈmaɪndfʊlnəs/,"Sự tỉnh táo, tính tỉnh táo",Từ vựng về tính cách
Modesty,/ˈmɒdəsti/,"Sự khiêm nhường, tính khiêm nhường",Từ vựng về tính cách
Openness,/ˈəʊpənəs/,"Sự cởi mở, tính cởi mở",Từ vựng về tính cách
Amused,/ə’mju:zd/,vui vẻ,Từ vựng về cảm xúc
Delighted,/dɪˈlaɪtɪd/,rất hạnh phúc,Từ vựng về cảm xúc
Ecstatic,/ɪkˈstætɪk/,vô cùng hạnh phúc,Từ vựng về cảm xúc
Enthusiastic,/ɪnθju:zi’æstɪk/,nhiệt tình,Từ vựng về cảm xúc
Excited,/ɪkˈsaɪtɪd/,hứng thú,Từ vựng về cảm xúc
Great,/ɡreɪt/,tuyệt vời,Từ vựng về cảm xúc
Happy,/’hæpi/,hạnh phúc,Từ vựng về cảm xúc
Intrigued,/ɪnˈtriːɡd/,hiếu kỳ,Từ vựng về cảm xúc
Keen,/kiːn/,"ham thích, tha thiết",Từ vựng về cảm xúc
Nonplussed,/ˌnɒnˈplʌst/,ngạc nhiên đến nỗi không biết phải làm gì,Từ vựng về cảm xúc
Overwhelmed,/ˌoʊvərˈwelmd/,choáng ngợp,Từ vựng về cảm xúc
Over the moon,/ˈoʊvər ðəmuːn/,rất sung sướng,Từ vựng về cảm xúc
Overjoyed,/ˌoʊvərˈdʒɔɪd/,cực kỳ hứng thú,Từ vựng về cảm xúc
Positive,/ˈpɑːzətɪv/,lạc quan,Từ vựng về cảm xúc
Relaxed,/rɪˈlækst/,"thư giãn, thoải mái",Từ vựng về cảm xúc
Seething,/siːðɪŋ/,rất tức giận nhưng giấu kín,Từ vựng về cảm xúc
Surprised,/sə’praɪzd/,ngạc nhiên,Từ vựng về cảm xúc
Terric,/təˈrɪfɪk/,tuyệt vời,Từ vựng về cảm xúc
Wonderful,/ˈwʌndərfl/,tuyệt vời,Từ vựng về cảm xúc
mother,/ˈmʌð.ər/,mẹ,Từ vựng về mối quan hệ
father,/ˈfɑː.ðər/,ba,Từ vựng về mối quan hệ
brother,/ˈbrʌð.ər/,anh/em trai,Từ vựng về mối quan hệ
sister,/ˈsɪs.tər/,chị/em gái,Từ vựng về mối quan hệ
sibling,/ˈsɪb.lɪŋ/,anh/chị/em ruột,Từ vựng về mối quan hệ
uncle,/ˈʌŋ.kəl/,chú/bác,Từ vựng về mối quan hệ
aunt,/ɑːnt/,cô/dì,Từ vựng về mối quan hệ
nephew,/ˈnef.juː/,cháu trai,Từ vựng về mối quan hệ
niece,/niːs/,cháu gái,Từ vựng về mối quan hệ
cousin,/ˈkʌz.ən/,anh/chị/em họ hàng,Từ vựng về mối quan hệ
relative,/ˈrel.ə.tɪv/,họ hàng,Từ vựng về mối quan hệ
ancestor,/ˈæn.ses.tər/,tổ tiên,Từ vựng về mối quan hệ
descendant,/dɪˈsen.dənt/,hậu duệ,Từ vựng về mối quan hệ
wedding,/ˈwed.ɪŋ/,đám cưới,Từ vựng về mối quan hệ
reunion,/ˌriːˈjuː.njən/,tụ họp,Từ vựng về mối quan hệ
holiday,/ˈhɒl.ə.deɪ/,ngày lễ,Từ vựng về mối quan hệ
funeral,/ˈfjuː.nər.əl/,tang lễ,Từ vựng về mối quan hệ
inherit,/ɪnˈher.ɪt/,thừa kế,Từ vựng về mối quan hệ
adopt,/əˈdɒpt/,nhận nuôi,Từ vựng về mối quan hệ
nurture,/ˈnɜː.tʃər/,nuôi nấng,Từ vựng về mối quan hệ
acquaintance,/əˈkweɪn.təns/,người quen,Từ vựng về mối quan hệ
companion,/kəmˈpæn.jən/,bạn đồng hành,Từ vựng về mối quan hệ
classmate,/ˈklɑːs.meɪt/,bạn cùng lớp,Từ vựng về mối quan hệ
schoolmate,/ˈskuːl.meɪt/,bạn cùng trường,Từ vựng về mối quan hệ
aection,/əˈfɛkʃən/,"tình yêu, tình cảm",Từ vựng về tình yêu
passion,/ˈpæʃən/,"đammê, say mê",Từ vựng về tình yêu
devotion,/dɪˈvoʊʃən/,"tận tụy, sự tận hiến",Từ vựng về tình yêu
infatuation,/ɪnˌfætʃʊˈeɪʃən/,"sự mê hoặc, say đắm",Từ vựng về tình yêu
intimacy,/ˈɪntəməsi/,"sự gần gũi, thân mật",Từ vựng về tình yêu
romance,/roʊˈmæns/,tình yêu lãng mạn,Từ vựng về tình yêu
adoration,/ˌædəˈreɪʃən/,"sự sùng bái, tôn kính",Từ vựng về tình yêu
cherish,/ˈʧɛrɪʃ/,"yêu thương, quý trọng",Từ vựng về tình yêu
attraction,/əˈtrækʃən/,"sự hấp dẫn, lôi cuốn",Từ vựng về tình yêu
commitment,/kəˈmɪtmənt/,"sự cam kết, tận tụy",Từ vựng về tình yêu
enamored,/ɪˈnæmərd/,"mêmuội, si mê",Từ vựng về tình yêu
endearment,/ɪnˈdɪrmənt/,"lời yêu thương, lời quý mến",Từ vựng về tình yêu
fondness,/ˈfɑːndnəs/,"tình cảm, tình thương",Từ vựng về tình yêu
heartthrob,/ˈhɑːrtθrɑːb/,người khiến tim đập thình,Từ vựng về tình yêu
courtship,/ˈkɔːrtʃɪp/,"sự cầu hôn, sự tán tỉnh",Từ vựng về tình yêu
yearning,/ˈjɜːrnɪŋ/,"sự khát khao, sự mong mỏi",Từ vựng về tình yêu
tenderness,/ˈtɛndərnəs/,"sự ân cần, sự nhẹ nhàng",Từ vựng về tình yêu
delity,/fɪˈdɛlɪti/,"lòng trung thành, trung thực",Từ vựng về tình yêu
soulmate,/ˈsoʊlmeɪt/,"bạn tâm giao, hợp tâm hồn",Từ vựng về tình yêu
enamored,/ɪˈnæmərd/,"mêmuội, si mê",Từ vựng về tình yêu
appetizer,/ˈæpɪtaɪzər/,món khai vị,Từ vựng về đồ ăn
entree,/ˈɑːntreɪ/,món chính,Từ vựng về đồ ăn
cuisine,/kwɪˈzin/,ẩm thực,Từ vựng về đồ ăn
recipe,/ˈrɛsɪpi/,công thức nấu ăn,Từ vựng về đồ ăn
ingredient,/ɪnˈɡridiənt/,nguyên liệu,Từ vựng về đồ ăn
savory,/ˈseɪvəri/,"ngon mồm, đậm đà",Từ vựng về đồ ăn
spicy,/ˈspaɪsi/,cay,Từ vựng về đồ ăn
indulgent,/ɪnˈdʌlʤənt/,"phung phí, thỏa mãn",Từ vựng về đồ ăn
wholesome,/ˈhoʊl.səm/,"lành mạnh, bổ dưỡng",Từ vựng về đồ ăn
gourmet,/ˈɡʊrmeɪ/,ẩm thực tinh hoa,Từ vựng về đồ ăn
cuisine,/kwɪˈzin/,ẩm thực,Từ vựng về đồ ăn
delicious,/dɪˈlɪʃəs/,"ngon miệng, thơm ngon",Từ vựng về đồ ăn
buet,/ˈbʊfeɪ/,tiệc tự chọn,Từ vựng về đồ ăn
presentation,/ˌprɛzənˈteɪʃən/,"cách trình bày, thể hiện",Từ vựng về đồ ăn
simmer,/ˈsɪmər/,ninh nhỏ lửa,Từ vựng về đồ ăn
bake,/beɪk/,nướng,Từ vựng về đồ ăn
grill,/ɡrɪl/,nướng trên lửa than,Từ vựng về đồ ăn
steam,/stim/,hấp,Từ vựng về đồ ăn
sauté,/sɔːˈteɪ/,xào,Từ vựng về đồ ăn
garnish,/ˈɡɑːrnɪʃ/,"trang trí, điểm tô",Từ vựng về đồ ăn
coee,/ˈkɒ/,cà phê,Từ vựng về đồ uống
tea,/tiː/,trà,Từ vựng về đồ uống
juice,/dʒuːs/,nước trái cây,Từ vựng về đồ uống
water,/ˈwɔːtər/,nước,Từ vựng về đồ uống
soda,/ˈsoʊdə/,nước có ga,Từ vựng về đồ uống
milk,/mɪlk/,sữa,Từ vựng về đồ uống
smoothie,/ˈsmuːði/,sinh tố,Từ vựng về đồ uống
cocktail,/ˈkɑːkteɪl/,cocktail,Từ vựng về đồ uống
beer,/bɪr/,bia,Từ vựng về đồ uống
wine,/waɪn/,rượu vang,Từ vựng về đồ uống
champagne,/ʃæmˈpeɪn/,rượu sâm banh,Từ vựng về đồ uống
whiskey,/ˈwɪski/,rượu whiskey,Từ vựng về đồ uống
soda water,/ˈsoʊdə ˈwɔːtər/,nước suối có ga,Từ vựng về đồ uống
lemonade,/ˌlɛməˈneɪd/,nước chanh,Từ vựng về đồ uống
hot chocolate,/ˌhɒt ˈtʃɔːklət/,sữa nóng cacao,Từ vựng về đồ uống
iced tea,/aɪst tiː/,trà đá,Từ vựng về đồ uống
energy drink,/ˈɛnərdʒi drɪŋk/,nước giải khát,Từ vựng về đồ uống
fruit punch,/fruːt pʌntʃ/,nước trái cây có rượu,Từ vựng về đồ uống
herbal tea,/ˈhɜːrbəl tiː/,trà thảo dược,Từ vựng về đồ uống
soft drink,/sɒft drɪŋk/,"nước ngọt, nước có ga",Từ vựng về đồ uống
apple,/ˈæpəl/,quả táo,Từ vựng về trái cây
banana,/bəˈnænə/,quả chuối,Từ vựng về trái cây
orange,/ˈɔːrɪndʒ/,quả cam,Từ vựng về trái cây
strawberry,/ˈstrɔːbəri/,quả dâu tây,Từ vựng về trái cây
watermelon,/ˈwɔːtərmɛlən/,dưa hấu,Từ vựng về trái cây
pineapple,/ˈpaɪnˌæpəl/,quả dứa,Từ vựng về trái cây
mango,/ˈmæŋɡoʊ/,quả xoài,Từ vựng về trái cây
grape,/ɡreɪp/,quả nho,Từ vựng về trái cây
lemon,/ˈlɛmən/,quả chanh,Từ vựng về trái cây
cherry,/ˈʧɛri/,quả anh đào,Từ vựng về trái cây
peach,/piːʧ/,quả đào,Từ vựng về trái cây
pear,/pɛr/,quả lê,Từ vựng về trái cây
kiwi,/ˈkiwi/,quả kiwi,Từ vựng về trái cây
blueberry,/ˈbluːˌbɛri/,quả việt quất,Từ vựng về trái cây
raspberry,/ˈræzˌbɛri/,quả mâm xôi,Từ vựng về trái cây
avocado,/ˌævəˈkɑːdoʊ/,quả bơ,Từ vựng về trái cây
coconut,/ˈkoʊkəˌnʌt/,quả dừa,Từ vựng về trái cây
pomegranate,/ˈpɑːmɪɡrænɪt/,quả lựu,Từ vựng về trái cây
passion fruit,/ˈpæʃən ˌfruːt/,quả chanh dây,Từ vựng về trái cây
apricot,/ˈeɪprɪkɑːt/,quả mơ,Từ vựng về trái cây
carrot,/ˈkærət/,cà rốt,Từ vựng về rau củ quả
broccoli,/ˈbrɒkəli/,súp lơ xanh,Từ vựng về rau củ quả
lettuce,/ˈlɛtɪs/,rau diếp,Từ vựng về rau củ quả
cucumber,/ˈkjuːkʌmbər/,dưa chuột,Từ vựng về rau củ quả
tomato,/təˈmeɪtoʊ/,cà chua,Từ vựng về rau củ quả
spinach,/ˈspɪnɪʤ/,rau bina,Từ vựng về rau củ quả
cabbage,/ˈkæbɪʤ/,bắp cải,Từ vựng về rau củ quả
onion,/ˈʌnjən/,hành tây,Từ vựng về rau củ quả
garlic,/ˈɡɑːrlɪk/,tỏi,Từ vựng về rau củ quả
potato,/pəˈteɪtoʊ/,khoai tây,Từ vựng về rau củ quả
bell pepper,/bɛl ˈpɛpər/,ớt chuông,Từ vựng về rau củ quả
zucchini,/zuːˈkiːni/,bí đỏ,Từ vựng về rau củ quả
eggplant,/ˈɛɡˌplænt/,cà tím,Từ vựng về rau củ quả
cauliflower,/ˈkɑːlɪˌflaʊər/,bông cải trắng,Từ vựng về rau củ quả
pumpkin,/ˈpʌmpkɪn/,bí ngô,Từ vựng về rau củ quả
sweet potato,/swiːt pəˈteɪtoʊ/,khoai lang,Từ vựng về rau củ quả
asparagus,/əˈspærəɡəs/,măng tây,Từ vựng về rau củ quả
radish,/ˈrædɪʃ/,củ cải đỏ,Từ vựng về rau củ quả
beet,/bit/,củ cải đường,Từ vựng về rau củ quả
green bean,/ɡrin bin/,đậu bắp,Từ vựng về rau củ quả
shrimp,/ʃrɪmp/,tôm,Từ vựng về tên các loại hải sản
crab,/kræb/,cua,Từ vựng về tên các loại hải sản
lobster,/ˈlɑːbstər/,tôm hùm,Từ vựng về tên các loại hải sản
oyster,/ˈɔɪstər/,hàu,Từ vựng về tên các loại hải sản
scallop,/ˈskɒləp/,sò điệp,Từ vựng về tên các loại hải sản
clam,/klæm/,nghêu,Từ vựng về tên các loại hải sản
squid,/skwɪd/,mực,Từ vựng về tên các loại hải sản
octopus,/ˈɒktəpəs/,bạch tuộc,Từ vựng về tên các loại hải sản
mussels,/ˈmʌsəlz/,con trai,Từ vựng về tên các loại hải sản
sh,/fɪʃ/,cá,Từ vựng về tên các loại hải sản
salmon,/ˈsæmən/,cá hồi,Từ vựng về tên các loại hải sản
tuna,/ˈtuːnə/,cá ngừ,Từ vựng về tên các loại hải sản
cod,/kɒd/,cá tuyết,Từ vựng về tên các loại hải sản
haddock,/ˈhædək/,cá tuyết trắng,Từ vựng về tên các loại hải sản
sardine,/sɑːrˈdiːn/,cá mòi,Từ vựng về tên các loại hải sản
anchovy,/ˈænʧəvi/,cá cơm,Từ vựng về tên các loại hải sản
trout,/traʊt/,cá hồi nướng,Từ vựng về tên các loại hải sản
shrimp cocktail,/ʃrɪmp ˈkɒkteɪl/,món tôm sốt cocktail,Từ vựng về tên các loại hải sản
caviar,/ˈkæviɑːr/,trứng cá hồi,Từ vựng về tên các loại hải sản
calamari,/kəˈlæməri/,mực nướng,Từ vựng về tên các loại hải sản
Pho,/foʊ/,Pho,Từ vựng về tên các món ăn Việt Nam
Banh mi,/bænmiː/,Banh mi,Từ vựng về tên các món ăn Việt Nam
Fresh spring rolls,/frɛʃ sprɪŋ rəʊlz/,Gỏi cuốn,Từ vựng về tên các món ăn Việt Nam
Grilled pork with noodles,/ɡrɪld pɔːk wɪð ˈnuːdlz/,Bún chả,Từ vựng về tên các món ăn Việt Nam
Braised sh,/breɪzd fɪʃ/,Cá kho,Từ vựng về tên các món ăn Việt Nam
Shaking beef,/ˈʃeɪkɪŋ biːf/,Bò lúc lắc,Từ vựng về tên các món ăn Việt Nam
Broken rice,/ˈbrəʊkən raɪs/,Cơm tấm,Từ vựng về tên các món ăn Việt Nam
Vietnamese pancake,/ˌvjɛtnəˈmiːz ˈpænkeɪk/,Bánh xèo,Từ vựng về tên các món ăn Việt Nam
Grilled chicken,/ɡrɪld ˈʧɪkɪn/,Gà nướng,Từ vựng về tên các món ăn Việt Nam
Fried spring rolls,/fraɪd sprɪŋ rəʊlz/,Nem rán,Từ vựng về tên các món ăn Việt Nam
Crab noodle soup,/kræb ˈnuːdl suːp/,Bún riêu,Từ vựng về tên các món ăn Việt Nam
Sour soup,/ˈsaʊə suːp/,Canh chua,Từ vựng về tên các món ăn Việt Nam
Green papaya salad,/ɡriːn pəˈpaɪə ˈsæləd/,Gỏi đu đủ,Từ vựng về tên các món ăn Việt Nam
Steamed rice rolls,/stiːmd raɪs rəʊlz/,Bánh cuốn,Từ vựng về tên các món ăn Việt Nam
Fried sh,/fraɪd fɪʃ/,Cá chiên,Từ vựng về tên các món ăn Việt Nam
Beef stew,/biːf stjuː/,Bò kho,Từ vựng về tên các món ăn Việt Nam
Stir-fried noodles,/stɜː-fraɪd ˈnuːdlz/,Mì xào,Từ vựng về tên các món ăn Việt Nam
Fish cake,/fɪʃ keɪk/,Chả cá,Từ vựng về tên các món ăn Việt Nam
Water fern cake,/ˈwɔːtə fɜːn keɪk/,Bánh bèo,Từ vựng về tên các món ăn Việt Nam
Thick Noodle Soup,/θɪk ˈnuːdl suːp/,Bánh canh,Từ vựng về tên các món ăn Việt Nam
recipe,/ˈrɛsəpi/,công thức nấu ăn,Từ vựng về nấu ăn
ingredient,/ɪnˈɡriːdiənt/,nguyên liệu,Từ vựng về nấu ăn
utensil,/juːˈtɛnsəl/,dụng cụ nấu ăn,Từ vựng về nấu ăn
chopping board,/ˈʧɑːpɪŋ bɔːrd/,thớt cắt,Từ vựng về nấu ăn
knife,/naɪf/,dao,Từ vựng về nấu ăn
cutting,/ˈkʌtɪŋ/,cắt,Từ vựng về nấu ăn
peeling,/ˈpiːlɪŋ/,gọt,Từ vựng về nấu ăn
boiling,/ˈbɔɪlɪŋ/,sôi,Từ vựng về nấu ăn
frying,/ˈfraɪɪŋ/,chiên,Từ vựng về nấu ăn
baking,/ˈbeɪkɪŋ/,nướng,Từ vựng về nấu ăn
grilling,/ˈɡrɪlɪŋ/,nướng (lưới),Từ vựng về nấu ăn
sautéing,/sɔːˈteɪɪŋ/,xào,Từ vựng về nấu ăn
simmering,/ˈsɪmərɪŋ/,ninh,Từ vựng về nấu ăn
stirring,/ˈstɜːrɪŋ/,khuấy,Từ vựng về nấu ăn
whisking,/ˈwɪskɪŋ/,"đánh (trứng, kem)",Từ vựng về nấu ăn
marinating,/ˈmærɪneɪtɪŋ/,ướp (thịt),Từ vựng về nấu ăn
seasoning,/ˈsiːzənɪŋ/,gia vị,Từ vựng về nấu ăn
tasting,/ˈteɪstɪŋ/,nếm thử,Từ vựng về nấu ăn
